ConflictType,ITI,Reward,Risk,Trial
highconflict,1.75,7.56172839506,0.37,143
highconflict,4.375,9.87808641975,0.49,144
lowconflict,1.75,11.5848765432,0.3,145
lowconflict,1.75,13.1697530864,0.29,146
medconflict,1.75,9.51234567901,0.45,147
highconflict,2.625,9.14660493827,0.8,148
medconflict,1.75,14.8765432099,0.67,149
lowconflict,3.5,13.2916666667,0.48,150
lowconflict,1.75,5.61111111111,0.89,151
lowconflict,1.75,8.90277777778,0.25,152
highconflict,3.5,10.975308642,0.9,153
lowconflict,3.5,13.4135802469,0.43,154
highconflict,1.75,10.0,0.81,155
medconflict,3.5,11.2191358025,0.54,156
lowconflict,1.75,10.8533950617,0.33,157
medconflict,1.75,11.7067901235,0.6,158
medconflict,1.75,5.8549382716,0.61,159
lowconflict,5.25,5.73302469136,0.84,160
highconflict,1.75,10.487654321,0.55,161
highconflict,1.75,11.3410493827,0.74,162
highconflict,1.75,12.9259259259,0.84,163
medconflict,4.375,11.0972222222,0.6,164
medconflict,1.75,14.5108024691,0.67,165
medconflict,3.5,6.70833333333,0.69,166
highconflict,1.75,10.3657407407,0.88,167
lowconflict,2.625,12.1944444444,0.42,168
highconflict,2.625,6.22067901235,0.34,169
lowconflict,2.625,10.7314814815,0.16,170
highconflict,1.75,11.5848765432,0.83,171
medconflict,6.125,6.0987654321,0.49,172
lowconflict,1.75,10.1219135802,0.26,173
highconflict,1.75,10.0,0.72,174
medconflict,3.5,8.53703703704,0.82,175
highconflict,3.5,8.41512345679,0.66,176
medconflict,1.75,10.975308642,0.46,177
medconflict,1.75,9.02469135802,0.29,178
highconflict,1.75,7.56172839506,0.44,179
highconflict,1.75,5.48919753086,0.11,180
lowconflict,3.5,5.36728395062,0.8,181
highconflict,1.75,12.6820987654,0.75,182
medconflict,1.75,7.43981481481,0.85,183
medconflict,1.75,12.8040123457,0.64,184
medconflict,1.75,6.46450617284,0.55,185
lowconflict,2.625,10.6095679012,0.25,186
highconflict,3.5,7.68364197531,0.59,187
lowconflict,2.625,9.14660493827,0.18,188
lowconflict,3.5,13.2916666667,0.2,189
medconflict,1.75,9.63425925926,0.39,190
lowconflict,3.5,14.3888888889,0.37,191
medconflict,1.75,14.6327160494,0.68,192
lowconflict,1.75,12.3163580247,0.28,193
lowconflict,1.75,11.7067901235,0.43,194
medconflict,4.375,7.9274691358,0.21,195
lowconflict,2.625,13.4135802469,0.53,196
lowconflict,1.75,14.0231481481,0.22,197
highconflict,1.75,14.2669753086,0.89,198
highconflict,4.375,12.5601851852,0.77,199
lowconflict,2.625,13.1697530864,0.13,200
highconflict,1.75,5.12345679012,0.1,201
highconflict,2.625,13.6574074074,0.73,202
medconflict,5.25,7.07407407407,0.31,203
lowconflict,1.75,13.9012345679,0.61,204
highconflict,3.5,9.39043209877,0.71,205
lowconflict,1.75,14.3888888889,0.33,206
lowconflict,1.75,12.4382716049,0.45,207
medconflict,1.75,11.462962963,0.5,208
lowconflict,1.75,7.19598765432,0.86,209
medconflict,3.5,11.3410493827,0.52,210
highconflict,2.625,5.97685185185,0.24,211
medconflict,2.625,9.87808641975,0.37,212
medconflict,2.625,6.95216049383,0.56,213
highconflict,5.25,6.58641975309,0.48,214
lowconflict,1.75,12.0725308642,0.41,215
medconflict,2.625,8.90277777778,0.36,216
highconflict,1.75,13.7793209877,0.87,217
